Year;Week;Time;Mortality;Influenza;Temperature deficit 
1999;50;1999,942308;1835;65;1,5
1999;51;1999,961538;1972;150;0,0
1999;52;1999,980769;2124;355;0,3
2000;1;2000;2303;301;0,0
2000;2;2000,019231;2373;270;0,0
2000;3;2000,038462;2241;185;0,7
2000;4;2000,057692;2157;119;0,0
2000;5;2000,076923;2083;124;0,0
2000;6;2000,096154;2013;114;0,0
2000;7;2000,115385;2086;83;0,1
2000;8;2000,134615;1930;53;0,0
2000;9;2000,153846;1895;56;0,0
2000;10;2000,173077;1857;26;0,0
2000;11;2000,192308;1825;8;0,0
2000;12;2000,211538;1775;13;0,0
2000;13;2000,230769;1864;12;0,0
2000;14;2000,25;1755;0;0,0
2000;15;2000,269231;1713;0;0,0
2000;16;2000,288462;1840;0;0,0
2000;17;2000,307692;1701;0;0,0
2000;18;2000,326923;1755;0;0,0
2000;19;2000,346154;1694;0;0,0
2000;20;2000,365385;1618;0;0,0
2000;21;2000,384615;1695;0;0,0
2000;22;2000,403846;1682;0;0,0
2000;23;2000,423077;1620;0;0,0
2000;24;2000,442308;1598;0;0,0
2000;25;2000,461538;1595;0;0,0
2000;26;2000,480769;1700;0;0,0
2000;27;2000,5;1653;0;0,0
2000;28;2000,519231;1735;0;0,0
2000;29;2000,538462;1626;0;0,0
2000;30;2000,557692;1701;0;0,0
2000;31;2000,576923;1679;0;0,0
2000;32;2000,596154;1654;0;0,0
2000;33;2000,615385;1637;0;0,0
2000;34;2000,634615;1655;0;0,0
2000;35;2000,653846;1614;0;0,0
2000;36;2000,673077;1624;0;0,0
2000;37;2000,692308;1692;0;0,0
2000;38;2000,711538;1703;0;0,0
2000;39;2000,730769;1610;0;0,0
2000;40;2000,75;1692;0;0,0
2000;41;2000,769231;1692;0;0,0
2000;42;2000,788462;1612;0;0,0
2000;43;2000,807692;1660;0;0,0
2000;44;2000,826923;1701;0;0,0
2000;45;2000,846154;1767;0;0,0
2000;46;2000,865385;1721;0;0,0
2000;47;2000,884615;1717;0;0,0
2000;48;2000,903846;1740;0;0,0
2000;49;2000,923077;1731;0;0,0
2000;50;2000,942308;1723;0;0,0
2000;51;2000,961538;1768;0;0,2
2000;52;2000,980769;1848;4;1,1
2001;1;2001;2393;0;0,0
2001;2;2001,019231;1877;6;0,0
2001;3;2001,038462;1833;6;0,6
2001;4;2001,057692;1815;10;0,0
2001;5;2001,076923;1774;19;4,4
2001;6;2001,096154;1928;56;0,9
2001;7;2001,115385;1783;67;0,0
2001;8;2001,134615;1902;79;1,1
2001;9;2001,153846;1943;71;5,3
2001;10;2001,173077;1889;73;0,0
2001;11;2001,192308;1843;83;0,0
2001;12;2001,211538;1858;50;1,0
2001;13;2001,230769;1815;76;0,0
2001;14;2001,25;1843;31;0,0
2001;15;2001,269231;1840;33;0,0
2001;16;2001,288462;1943;10;0,0
2001;17;2001,307692;1833;0;0,0
2001;18;2001,326923;1788;0;0,0
2001;19;2001,346154;1791;0;0,0
2001;20;2001,365385;1805;0;0,0
2001;21;2001,384615;1719;0;0,0
2001;22;2001,403846;1723;0;0,0
2001;23;2001,423077;1723;0;0,0
2001;24;2001,442308;1733;0;0,0
2001;25;2001,461538;1685;0;0,0
2001;26;2001,480769;1832;0;0,0
2001;27;2001,5;1787;0;0,0
2001;28;2001,519231;1799;0;0,0
2001;29;2001,538462;1655;0;0,0
2001;30;2001,557692;1633;0;0,0
2001;31;2001,576923;1665;0;0,0
2001;32;2001,596154;1692;0;0,0
2001;33;2001,615385;1594;0;0,0
2001;34;2001,634615;1716;0;0,0
2001;35;2001,653846;1620;0;0,0
2001;36;2001,673077;1660;0;0,0
2001;37;2001,692308;1718;0;0,0
2001;38;2001,711538;1687;0;0,0
2001;39;2001,730769;1663;0;0,0
2001;40;2001,75;1711;0;0,0
2001;41;2001,769231;1761;0;0,0
2001;42;2001,788462;1610;0;0,0
2001;43;2001,807692;1690;0;0,0
2001;44;2001,826923;1727;0;0,0
2001;45;2001,846154;1873;0;0,0
2001;46;2001,865385;1736;0;0,0
2001;47;2001,884615;1789;1;0,0
2001;48;2001,903846;1829;1;0,0
2001;49;2001,923077;1792;0;0,0
2001;50;2001,942308;1860;1;0,0
2001;51;2001,961538;1824;0;2,4
2001;52;2001,980769;2125;0;3,9
2002;1;2002;1965;1;3,5
2002;2;2002,019231;1936;12;0,0
2002;3;2002,038462;1902;7;0,0
2002;4;2002,057692;1852;12;1,2
2002;5;2002,076923;1891;24;0,2
2002;6;2002,096154;1810;44;0,0
2002;7;2002,115385;1778;39;0,0
2002;8;2002,134615;1860;66;0,0
2002;9;2002,153846;1978;119;0,0
2002;10;2002,173077;2022;181;0,0
2002;11;2002,192308;2042;222;0,0
2002;12;2002,211538;1993;233;0,0
2002;13;2002,230769;2074;190;0,0
2002;14;2002,25;1937;153;0,0
2002;15;2002,269231;1953;105;0,0
